cbsa,city_msa,county,stcofips_5_digit,state,electricity_generation,total_co2,health_emissions_cost,irr,n_electricity_generation,n_total_co2,n_health_emissions_cost,n_irr
16860,Chattanooga,Hamilton,47065,TN,0.211354,-830.8,-17816.49,0.1013,0.019454353077796267,0.009892010981265908,0,0.10753945061367622
28940,Knoxville,Knox,47093,TN,0.208811,-817.32,-18002.74,0.097,0.016292569996257587,0.006570030213267297,0.0010856494340342193,0.08240794856808885
34980,Nashville,Davidson,47037,TN,0.201103,-790.66,-19827.48,0.0964,0.006708997840339294,0,0.011722041102541936,0.07890122735242547
32580,McAllen,Hidalgo,48215,TX,0.343028,-1482.15,-20141.04,0.1376,0.18316832298677224,0.1704092345150845,0.013549779285284336,0.3196960841613092
41700,San Antonio,Bexar,48029,TX,0.266422,-1152.34,-20530.57,0.1077,0.08792193889540255,0.08913160268321418,0.015820345857307627,0.14494447691408535
26620,Huntsville,Madison,1089,AL,0.236575,-970.86,-21837.52,0.1097,0.050812328343029234,0.0444080811864499,0.02343854466434636,0.1566335476329632
17820,Colorado Springs,El Paso,48141,CO,1,-4302.38,-23097.87,0.1015,1,0.8654203488572683,0.030785112525742342,0.10870835768556403
26900,Indianapolis,Marion,18097,IN,0.195707,-845.91,-41014.32,0.0872,0,0.013615685269430355,0.13521992488763168,0.025131502045587364
34820,Myrtle Beach,Horry,45051,SC,1,-4111.41,-80576.27,0.1447,1,0.8183581331848135,0.3658261457026061,0.3611922852133255
44060,Spokane,Spokane,53063,WA,1,-4158.13,-83321.01,0.0829,1,0.8298717045112894,0.3818252084009739,0
38860,Portland,Cumberland,23005,ME,0.922608,-2847.32,-86128.3,0.254,0.9037763601075727,0.5068386473525195,0.3981888744394697,1
12260,Augusta,Richmond,13245,GA,1,-4117.84,-86883.48,0.1273,1,0.8199427278686586,0.4025908112963499,0.25949736995908823
37860,Pensacola,Escambia,12033,FL,1,-4834.2,-87646.56,0.159,1,0.996480869038055,0.40703879717620395,0.44476914085330216
49180,Winston,Forsyth,37067,NC,1,-3939.45,-90691.87,0.1037,1,0.7759806989960127,0.4247898794739686,0.12156633547632963
24860,Greenville,Greenville,45045,SC,1,-4113.61,-90946.02,0.086,1,0.8189002962181664,0.42627131734596746,0.018118059614260617
38940,Port St. Lucie,St. Lucie,12111,FL,1,-4848.48,-91428.98,0.1486,1,1,0.42908648647703407,0.3839859731151374
16700,Charleston,Charleston,45019,SC,1,-4108.07,-91569.31,0.1766,1,0.8175350311250869,0.4299044686787953,0.5476329631794272
37340,Palm Bay,Brevard,12009,FL,1,-4825.18,-95344.42,0.159,1,0.9942580006013083,0.451909548060899,0.44476914085330216
39580,Raleigh,Wake,37183,NC,1,-3941.12,-96086.69,0.1001,1,0.776392250025876,0.45623623265365365,0.10052600818234946
17900,Columbia,Richland,45079,SC,1,-4098.27,-96256.87,0.173,1,0.8151199412492425,0.45722821021437277,0.526592635885447
22180,Fayetteville,Cumberland,37051,NC,1,-4115.07,-99747.93,0.1219,1,0.8192600953221187,0.4775775649160071,0.22793687901811802
16740,Charlotte,Mecklenburg,37119,NC,1,-4093.25,-102301.37,0.0992,1,0.813882823782228,0.492461541779579,0.09526592635885445
12060,Atlanta,Fulton,13121,GA,1,-4097.7,-105814.39,0.1264,1,0.8149794717360553,0.5129389011071002,0.25423728813559326
35840,Sarasota,Sarasota,12115,FL,1,-4825.61,-114238.04,0.1593,1,0.9943639688305543,0.5620402748252322,0.4465225014611338
40060,Richmond,Richmond,51760,VA,1,-3928.99,-118455.01,0.1054,1,0.7734029602101622,0.5866209518391339,0.13150204558737574
29460,Lakeland,Polk,12105,FL,1,-4835.02,-121197.94,0.1529,1,0.9966829479868503,0.6026094640651495,0.4091174751607248
22220,Fayetteville,Washington,5143,AR,1,-4582.97,-125723.6,0.0943,1,0.93456831500658,0.6289894920792767,0.0666277030976037
36420,Oklahoma City,Oklahoma,40109,OK,1,-4784.02,-127479.05,0.118,1,0.9841146231227607,0.6392219930133722,0.20514319111630622
19780,Des Moines,Polk,19153,IA,1,-4832.71,-189372.79,0.1338,1,0.9961136768018297,1,0.29748684979544127
